epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9631173610687256,0.2492082417011261,0.06873729079961777,0.03692147508263588,0.042103879153728485,0.0003000000142492354,0.23461157083511353,0.4253844618797302,0.9829686284065247,0.9139363765716553,0.9947194457054138,0.9831752181053162,0.27341389656066895,0.13372460007667542,0.07132833451032639,0.08028171956539154,0.07544424384832382,0.4991219639778137,0.9829978346824646,0.9830234050750732,0.9943661689758301
1,0.9834388494491577,0.2810544967651367,0.12463734298944473,0.07768849283456802,0.09700795263051987,0.0003000000142492354,0.06915990263223648,0.5193947553634644,0.9835637807846069,0.9833101034164429,0.9945411682128906,0.9831752777099609,0.2943311631679535,0.2162831425666809,0.16031405329704285,0.1631515920162201,0.07018652558326721,0.4717605710029602,0.9856178164482117,0.9823276996612549,0.9952368140220642
2,0.9834386110305786,0.30975210666656494,0.18724042177200317,0.1390649974346161,0.18457098305225372,0.0003000000142492354,0.06192919239401817,0.5606440901756287,0.9862115979194641,0.9823161363601685,0.995405912399292,0.9831752181053162,0.30663999915122986,0.2618788778781891,0.19025444984436035,0.20694008469581604,0.06546712666749954,0.5131851434707642,0.9874613285064697,0.9820857048034668,0.995829164981842
3,0.9834390878677368,0.32833945751190186,0.2300224006175995,0.18008942902088165,0.22499170899391174,0.0003000000142492354,0.058788031339645386,0.6117537617683411,0.9886282682418823,0.9811834692955017,0.9961856603622437,0.9831752777099609,0.32449018955230713,0.2763986885547638,0.22929085791110992,0.24687595665454865,0.05973566696047783,0.6469383239746094,0.9906665682792664,0.97901451587677,0.9968410730361938
4,0.9836781024932861,0.36094632744789124,0.2958950698375702,0.25774556398391724,0.28651824593544006,0.0003000000142492354,0.047234270721673965,0.6180498600006104,0.9914966225624084,0.9811483025550842,0.997085690498352,0.9837368726730347,0.3779435455799103,0.3346747159957886,0.27773725986480713,0.266629695892334,0.0463872104883194,0.641619086265564,0.9910662174224854,0.9820432066917419,0.9969486594200134
5,0.9847542643547058,0.3662746846675873,0.3191232681274414,0.2633691728115082,0.29773545265197754,0.0003000000142492354,0.04852369800209999,0.633305013179779,0.9920985698699951,0.9801875948905945,0.9972575902938843,0.9847732782363892,0.3769535720348358,0.38746514916419983,0.306404173374176,0.3384045660495758,0.042480532079935074,0.6193431615829468,0.9936152100563049,0.980643093585968,0.9977343678474426
6,0.9855146408081055,0.3922794759273529,0.3811962902545929,0.29428526759147644,0.3601919710636139,0.0003000000142492354,0.040632281452417374,0.6560692191123962,0.9933840036392212,0.9806258678436279,0.9976354837417603,0.9854655861854553,0.39650118350982666,0.3906143307685852,0.2858792543411255,0.30234071612358093,0.040052033960819244,0.6191549897193909,0.9922466278076172,0.981891930103302,0.9972986578941345
7,0.9861992001533508,0.40352723002433777,0.41023582220077515,0.2935947775840759,0.39117488265037537,0.0003000000142492354,0.03974464163184166,0.6658094525337219,0.9937607645988464,0.9808133840560913,0.9977362155914307,0.9862490892410278,0.40677541494369507,0.4537414610385895,0.31916922330856323,0.3808674216270447,0.037296950817108154,0.6797652244567871,0.9949414134025574,0.9802471399307251,0.99810391664505
8,0.9866241216659546,0.4146190285682678,0.4420589208602905,0.3045816719532013,0.4026052951812744,0.0003000000142492354,0.037461891770362854,0.699333906173706,0.99368816614151,0.981322705745697,0.9977203607559204,0.9856164455413818,0.398283451795578,0.37806591391563416,0.2771548330783844,0.28450655937194824,0.04337185248732567,0.6421123743057251,0.9909244179725647,0.9825228452682495,0.9968856573104858
9,0.9874187111854553,0.4286964237689972,0.47371557354927063,0.3337628245353699,0.41155701875686646,0.0003000000142492354,0.03415336087346077,0.6810221076011658,0.9941189885139465,0.9818516373634338,0.9978506565093994,0.9865705370903015,0.4269596338272095,0.4437467157840729,0.366877943277359,0.3630537688732147,0.03512373939156532,0.69390869140625,0.9928401112556458,0.9823742508888245,0.9974746108055115
10,0.9879704713821411,0.43872860074043274,0.5016238689422607,0.366166889667511,0.4133497178554535,0.0003000000142492354,0.03257778286933899,0.7338473796844482,0.994401216506958,0.9821456074714661,0.9979375004768372,0.9880383610725403,0.44272634387016296,0.5155497789382935,0.39105772972106934,0.39606228470802307,0.03289947286248207,0.694069504737854,0.9947605729103088,0.9817554950714111,0.9980499744415283
11,0.988351047039032,0.44725847244262695,0.5225626230239868,0.4054592251777649,0.41133245825767517,0.0003000000142492354,0.03232474997639656,0.7123879194259644,0.9943168759346008,0.9825169444084167,0.9979145526885986,0.9886454939842224,0.4437842071056366,0.5586569309234619,0.39765748381614685,0.3938636779785156,0.03187713772058487,0.7240235805511475,0.9942975640296936,0.9830629825592041,0.9979283809661865
12,0.9886870384216309,0.45089390873908997,0.5325002670288086,0.4064597487449646,0.41493237018585205,0.0003000000142492354,0.032719239592552185,0.7151150107383728,0.9940629005432129,0.9830039739608765,0.9978369474411011,0.987664520740509,0.44048118591308594,0.5326177477836609,0.3328282833099365,0.3037238121032715,0.03562682121992111,0.7533718347549438,0.9915198683738708,0.9848536252975464,0.9970909953117371
13,0.9890235066413879,0.465947687625885,0.557729184627533,0.4261130094528198,0.4389022886753082,0.0003000000142492354,0.030797835439443588,0.7242525815963745,0.9935546517372131,0.9841686487197876,0.9976940155029297,0.9886393547058105,0.4487100839614868,0.5672516822814941,0.3483825623989105,0.36194702982902527,0.031061867251992226,0.5947723984718323,0.9929487705230713,0.9852263927459717,0.9975365400314331
