epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9834179878234863,0.2589412033557892,0.0967412143945694,0.045818060636520386,0.0442626029253006,0.0003000000142492354,0.14853163063526154,0.4637366533279419,0.9833747148513794,0.9603248834609985,0.9945920705795288,0.9831752777099609,0.26831650733947754,0.08071128278970718,0.04501604661345482,0.03471299633383751,0.07576952129602432,0.46453312039375305,0.9831178188323975,0.9831434488296509,0.9943846464157104
1,0.9834388494491577,0.2849175035953522,0.15367470681667328,0.08955229818820953,0.09487975388765335,0.0003000000142492354,0.07009875029325485,0.5831809639930725,0.984329879283905,0.9831750988960266,0.9947903156280518,0.9831752181053162,0.28566300868988037,0.20799677073955536,0.1233544573187828,0.1379728764295578,0.0761101245880127,0.49906063079833984,0.9839184880256653,0.982908308506012,0.9946703910827637
2,0.9834563732147217,0.3102615475654602,0.20973311364650726,0.13238535821437836,0.18641160428524017,0.0003000000142492354,0.06278600543737411,0.6307252645492554,0.9868989586830139,0.9822118878364563,0.9956263303756714,0.9832119941711426,0.3339075446128845,0.29793936014175415,0.24003086984157562,0.23468703031539917,0.057171039283275604,0.7685063481330872,0.9905641674995422,0.9796804785728455,0.9968010187149048
3,0.9838051795959473,0.3342907726764679,0.2649698257446289,0.18844808638095856,0.23169054090976715,0.0003000000142492354,0.059556443244218826,0.6306787133216858,0.9898033142089844,0.9797376990318298,0.9965448379516602,0.9839242696762085,0.31293076276779175,0.3160855770111084,0.2486274093389511,0.2811306416988373,0.07473726570606232,0.5955958962440491,0.9930816292762756,0.9759878516197205,0.997602105140686
4,0.9846500754356384,0.3615519404411316,0.32184940576553345,0.22957631945610046,0.2987946569919586,0.0003000000142492354,0.04998268187046051,0.6305281519889832,0.9914324283599854,0.9810580611228943,0.9970548152923584,0.9847419261932373,0.3595920205116272,0.35167714953422546,0.286039263010025,0.3143683671951294,0.04690971598029137,0.5731214880943298,0.9932942390441895,0.979403555393219,0.9976374506950378
5,0.9852591156959534,0.3776419460773468,0.3558523654937744,0.267463356256485,0.3300175368785858,0.0003000000142492354,0.04534895718097687,0.6678712368011475,0.9923559427261353,0.980600118637085,0.9973345994949341,0.9851827025413513,0.3821595311164856,0.38381490111351013,0.2977084517478943,0.34092941880226135,0.04132727161049843,0.6847125887870789,0.9929230213165283,0.9811235070228577,0.997527539730072
6,0.9860842227935791,0.3904357850551605,0.39136141538619995,0.2717277705669403,0.3616237938404083,0.0003000000142492354,0.04337279498577118,0.6787194013595581,0.9929601550102234,0.9810612797737122,0.9975127577781677,0.9853376150131226,0.3814049959182739,0.3067649304866791,0.24744005501270294,0.2739630937576294,0.050184085965156555,0.6778863668441772,0.9893977642059326,0.9823368191719055,0.9963971376419067
7,0.9862731099128723,0.40509453415870667,0.3897545635700226,0.36247560381889343,0.3632300794124603,0.0003000000142492354,0.04130800813436508,0.65367192029953,0.9928244948387146,0.9807062745094299,0.9974625706672668,0.9866418242454529,0.4117048978805542,0.45753347873687744,0.3680785596370697,0.36795905232429504,0.03769379109144211,0.7056455016136169,0.9938857555389404,0.9810786843299866,0.997800886631012
8,0.9876758456230164,0.4304787516593933,0.45533058047294617,0.39176565408706665,0.3835389018058777,0.0003000000142492354,0.03629694879055023,0.7119687795639038,0.9934442043304443,0.982108473777771,0.9976505041122437,0.9871509075164795,0.43542400002479553,0.44480448961257935,0.4514022767543793,0.4068722426891327,0.034178443253040314,0.6877890229225159,0.9938114881515503,0.9817886352539062,0.9977762699127197
9,0.9876571297645569,0.44558560848236084,0.48123490810394287,0.4432852566242218,0.3848252296447754,0.0003000000142492354,0.034563664346933365,0.7216473817825317,0.9931989908218384,0.9827685952186584,0.9975915551185608,0.9866437911987305,0.42757847905158997,0.43802061676979065,0.38443243503570557,0.37338894605636597,0.03486621752381325,0.719496488571167,0.9921221733093262,0.9827048778533936,0.9972818493843079
10,0.9866675138473511,0.42926445603370667,0.45624858140945435,0.395229697227478,0.3955911099910736,0.0003000000142492354,0.038271572440862656,0.7377768754959106,0.9930642247200012,0.981437087059021,0.9975464344024658,0.9858480095863342,0.4122212529182434,0.40214821696281433,0.39387407898902893,0.2816754877567291,0.03749674931168556,0.6967647671699524,0.9904005527496338,0.9831434488296509,0.9967592358589172
11,0.9877632260322571,0.4464397728443146,0.4629497826099396,0.456988126039505,0.4009130299091339,6.000000212225132e-05,0.03276460990309715,0.7555502653121948,0.9934683442115784,0.9828523397445679,0.9976836442947388,0.9878696799278259,0.4429180324077606,0.4987470209598541,0.45113086700439453,0.40294337272644043,0.03259589150547981,0.7679876685142517,0.9944146275520325,0.982108473777771,0.9979694485664368
12,0.9890275001525879,0.4673347473144531,0.5147256255149841,0.47428905963897705,0.44977954030036926,6.000000212225132e-05,0.029993364587426186,0.7789319753646851,0.9942502379417419,0.9835659861564636,0.9979148507118225,0.9888778328895569,0.46727436780929565,0.5399376749992371,0.4739497900009155,0.41441163420677185,0.03125395625829697,0.7641849517822266,0.9938117861747742,0.9833788871765137,0.9977871775627136
13,0.9894617795944214,0.4816001057624817,0.5449993014335632,0.4860890805721283,0.47457072138786316,6.000000212225132e-05,0.029096733778715134,0.778840184211731,0.9940976500511169,0.9841482639312744,0.9978730082511902,0.988892138004303,0.4669295847415924,0.5487214922904968,0.48208677768707275,0.40577271580696106,0.030606107786297798,0.7771480083465576,0.9935204982757568,0.9838276505470276,0.9977034330368042
