epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9852344989776611,0.392845094203949,0.3590146005153656,0.32360315322875977,0.21434803307056427,0.0010000000474974513,0.0507926344871521,0.47139108180999756,0.9877068996429443,0.982098400592804,0.9958817958831787,0.9883520007133484,0.37883755564689636,0.10993969440460205,0.1498599648475647,0.08176245540380478,0.09374287724494934,0.37561655044555664,0.9893434643745422,0.9875420928001404,0.9964350461959839
1,0.9915523529052734,0.43536245822906494,0.4406638443470001,0.4213728606700897,0.24417516589164734,0.0010000000474974513,0.026371192187070847,0.5147289037704468,0.9929681420326233,0.9896820783615112,0.9976236820220947,0.9689143300056458,0.3715866208076477,0.23914043605327606,0.2246992588043213,0.143438458442688,0.13673628866672516,0.41081103682518005,0.9718449115753174,0.9666392803192139,0.9906402826309204
2,0.9920739531517029,0.45112714171409607,0.46510377526283264,0.438256174325943,0.2797333300113678,0.0010000000474974513,0.024138644337654114,0.5709986090660095,0.9933377504348755,0.9903689026832581,0.9977480173110962,0.9492784142494202,0.35074061155319214,0.24427518248558044,0.2582705318927765,0.1085667759180069,0.17885538935661316,0.37709692120552063,0.9527920484542847,0.9462931752204895,0.9843546152114868
3,0.9938031435012817,0.4775780439376831,0.5272376537322998,0.47414231300354004,0.3205159604549408,0.00020000000949949026,0.01842397451400757,0.5947758555412292,0.9946371912956238,0.9923200607299805,0.9981775879859924,0.9646614193916321,0.36086106300354004,0.2555297911167145,0.25539785623550415,0.13441205024719238,0.12765812873840332,0.3776327967643738,0.9679824113845825,0.9626869559288025,0.9893593788146973
4,0.9938516020774841,0.48364728689193726,0.5323366522789001,0.4798220694065094,0.32860806584358215,0.00020000000949949026,0.017884019762277603,0.5708606243133545,0.9946545958518982,0.9924008250236511,0.9981805086135864,0.9732265472412109,0.3809729218482971,0.25457921624183655,0.25875306129455566,0.1436477154493332,0.0989854633808136,0.3782198429107666,0.9747764468193054,0.9720840454101562,0.991594672203064
5,0.9943807721138,0.495796263217926,0.5552025437355042,0.48896893858909607,0.3406386375427246,4.0000002627493814e-05,0.016388021409511566,0.5648136734962463,0.9950112104415894,0.9930455088615417,0.9983023405075073,0.9651851654052734,0.3661879897117615,0.24632728099822998,0.26293641328811646,0.14695589244365692,0.1301911622285843,0.38114187121391296,0.9677522778511047,0.9637476205825806,0.9892705678939819
6,0.9944471716880798,0.4972241520881653,0.557722806930542,0.49029555916786194,0.3459915518760681,4.0000002627493814e-05,0.01621394231915474,0.5607838034629822,0.9950343370437622,0.9931236505508423,0.998309850692749,0.9688740968704224,0.37705332040786743,0.26486024260520935,0.2785418927669525,0.14567357301712036,0.11548266559839249,0.38408762216567993,0.971028208732605,0.9675882458686829,0.9903550148010254
7,0.9946222305297852,0.5006762742996216,0.5590649247169495,0.49319735169410706,0.34878718852996826,8.000000889296643e-06,0.015711184591054916,0.558971643447876,0.9951890707015991,0.9933393001556396,0.9983618855476379,0.966308057308197,0.37264779210090637,0.26532265543937683,0.27464646100997925,0.1481933891773224,0.12368615716695786,0.38383278250694275,0.9690002202987671,0.9648328423500061,0.989687442779541
8,0.994632363319397,0.5006611347198486,0.5627189874649048,0.49390578269958496,0.3524382412433624,8.000000889296643e-06,0.015663813799619675,0.5567460060119629,0.9951977729797363,0.9933182001113892,0.9983640313148499,0.9663453698158264,0.37793979048728943,0.29108625650405884,0.26927340030670166,0.14969393610954285,0.1269092857837677,0.3848796784877777,0.9688407182693481,0.9648621678352356,0.9896329045295715
9,0.9946827292442322,0.5017046928405762,0.5660173892974854,0.4943806231021881,0.3534879982471466,1.6000001323845936e-06,0.015530520118772984,0.5556087493896484,0.9952159523963928,0.9933906197547913,0.998371422290802,0.9674877524375916,0.37571844458580017,0.27366772294044495,0.270167738199234,0.15080134570598602,0.11943428963422775,0.3852662146091461,0.9698771238327026,0.9660832285881042,0.9899746179580688
10,0.9946819543838501,0.5016767978668213,0.5658313035964966,0.4940454065799713,0.35401803255081177,1.6000001323845936e-06,0.015534115955233574,0.5553194284439087,0.9952179789543152,0.9933848977088928,0.998371422290802,0.9669716954231262,0.3768920302391052,0.280945360660553,0.269195020198822,0.1508897989988327,0.1228959709405899,0.38471370935440063,0.9694510698318481,0.9655367732048035,0.9898338317871094
11,0.9946853518486023,0.5019615292549133,0.5664515495300293,0.4941389858722687,0.35340747237205505,9.999999974752427e-07,0.015508833341300488,0.5544410943984985,0.9952122569084167,0.9934020638465881,0.9983699917793274,0.9660044312477112,0.37559863924980164,0.27959439158439636,0.2700429856777191,0.1500646024942398,0.127092644572258,0.38409867882728577,0.9686814546585083,0.9645203351974487,0.9895803332328796
12,0.9946942925453186,0.5021423697471619,0.5659436583518982,0.49447861313819885,0.3541126251220703,9.999999974752427e-07,0.015491316094994545,0.5540910363197327,0.9952187538146973,0.993410050868988,0.9983726143836975,0.9670974016189575,0.37705090641975403,0.28120166063308716,0.26611003279685974,0.150596484541893,0.12314028292894363,0.3844259977340698,0.9694863557815552,0.965695321559906,0.9898449778556824
13,0.994698703289032,0.5022958517074585,0.5659889578819275,0.49460893869400024,0.3550487458705902,9.999999974752427e-07,0.015478706918656826,0.5536502599716187,0.9952289462089539,0.9934077858924866,0.9983750581741333,0.9667250514030457,0.3740469217300415,0.2673056125640869,0.2712347209453583,0.15111635625362396,0.12256614863872528,0.3841680884361267,0.969340980052948,0.965277910232544,0.9897985458374023
14,0.9947031736373901,0.5023914575576782,0.5665517449378967,0.49478352069854736,0.3549819886684418,9.999999974752427e-07,0.015465917065739632,0.553053081035614,0.9952290058135986,0.9934162497520447,0.998375654220581,0.9672972559928894,0.3759419322013855,0.2738940119743347,0.27081477642059326,0.15144924819469452,0.12017325311899185,0.38447168469429016,0.9697594046592712,0.9658798575401306,0.9899360537528992
